feature,importance_mean,importance_std
price_DK1_lag_1h,0.27131225374348805,0.010911128741555958
DK_wind_offshore_generation_actual,0.12249909289496448,0.012553189603019644
offshore_share,0.1125915373662966,0.016674398292437415
price_DK1_lag_2h,0.03700965198118018,0.003544438525489035
DK_2_wind_generation_actual,0.03119284798063795,0.010075198483364212
hour_sin,0.018948545226885584,0.0035283664168287788
dow_cos,0.01519627902676295,0.006301021772953137
price_DK1_lag_3h,0.011458325343913667,0.0037627591403907633
DK_load_actual_entsoe_transparency,0.01045956990021617,0.004626629285014275
DK_load_forecast_entsoe_transparency,0.007754032587166115,0.00445545309055133
load_rolling_24h,0.0076519523054673355,0.005450621147803643
wind_rolling_24h,0.006915274983345254,0.013429342998509257
DK_1_wind_generation_actual,0.006438052188756682,0.006447773096686811
wind_lag_24h,0.005112502504377114,0.008637674074894245
hour_cos,0.0049520047623938575,0.002280715008134581
DK_wind_onshore_generation_actual,0.004901804939988241,0.016287759454845258
price_DK1_lag_24h,0.004685579109350924,0.0013156021589323251
DK_wind_generation_actual,0.0031105448550596605,0.008734893847215926
DK_1_solar_generation_actual,0.00281382784138271,0.002779459069769339
month_cos,0.0025121071414258233,0.011652576011190813
wind_lag_1h,0.0011798599319868598,0.003973318108660589
dow_sin,0.0007887682550037134,0.0013383064512300189
total_renewable,0.00033766065814111457,0.004333709649755889
is_night,8.977869072248623e-05,0.0007310646343125602
year,0.0,0.0
wind_lag_2h,-0.0002790688391006935,0.006177408771756063
is_weekend,-0.0010890578073281087,0.00041889301101975015
is_winter,-0.0011776659126035093,0.00034464379674378423
wind_lag_3h,-0.001414579131914806,0.006916623503995622
month_sin,-0.0015670672793897111,0.002334769672983162
DK_solar_generation_actual,-0.0018811209963224274,0.0017833533529169156
is_spring,-0.0022647313421815694,0.001669397783280383
load_forecast_error,-0.002872361504389609,0.003613935286293323
renewable_penetration,-0.0049042530774010325,0.010599823628738894
wind_load_ratio,-0.010169208517685014,0.012686193973286965
